"feature","abs_cor_with_dx","dataset","rank"
"otu00002",0.176209531873979,"correct_labels",1
"otu00008",0.171813310099892,"correct_labels",2
"otu00010",0.137380786946091,"correct_labels",3
"otu00005",0.11933023584771,"correct_labels",4
"otu00004",0.0936165197252513,"correct_labels",5
"otu00006",0.0874262796142563,"correct_labels",6
"otu00001",0.0732112347847942,"correct_labels",7
"otu00003",0.0608715153219517,"correct_labels",8
"otu00009",0.034862438457924,"correct_labels",9
"otu00007",0.0253349255539624,"correct_labels",10
"otu00003",0.0526875500465444,"shuffled_label_error",1
"otu00008",0.047525895113515,"shuffled_label_error",2
"otu00004",0.0438248629794664,"shuffled_label_error",3
"otu00010",0.0437385719459139,"shuffled_label_error",4
"otu00005",0.0433604668738273,"shuffled_label_error",5
"otu00009",0.0283568999443415,"shuffled_label_error",6
"otu00002",0.0250400841614614,"shuffled_label_error",7
"otu00006",0.0185921537273498,"shuffled_label_error",8
"otu00007",0.00951703891586186,"shuffled_label_error",9
"otu00001",0.0066505572804058,"shuffled_label_error",10
